[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
Rh           45           0.00000E+00  0.00000E+00  3.18E-02     1.09E-01     2.01E-01     2.94E-01     3.85E-01     4.67E-01     5.36E-01     5.68E-01     
Pd           46           0.00000E+00  0.00000E+00  9.38E-02     2.81E-01     4.60E-01     6.13E-01     7.47E-01     8.59E-01     9.49E-01     9.89E-01     
Ag           47           0.00000E+00  0.00000E+00  2.60E-02     9.14E-02     1.72E-01     2.57E-01     3.42E-01     4.22E-01     4.89E-01     5.22E-01     
Cd           48           0.00000E+00  0.00000E+00  1.04E-01     3.07E-01     4.99E-01     6.63E-01     8.07E-01     9.29E-01     1.03E+00     1.07E+00     
In           49           0.00000E+00  0.00000E+00  6.36E-02     2.08E-01     3.61E-01     5.03E-01     6.34E-01     7.49E-01     8.42E-01     8.85E-01     
Sn           50           0.00000E+00  0.00000E+00  8.77E-02     2.80E-01     4.69E-01     6.36E-01     7.89E-01     9.20E-01     1.02E+00     1.07E+00     
Sb           51           0.00000E+00  0.00000E+00  2.80E-02     1.08E-01     2.11E-01     3.24E-01     4.43E-01     5.57E-01     6.53E-01     6.97E-01     
Te           52           0.00000E+00  0.00000E+00  2.17E-02     8.98E-02     1.78E-01     2.76E-01     3.80E-01     4.80E-01     5.62E-01     5.99E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  2.57E-02     5.63E-02     9.58E-02     1.45E-01     2.00E-01     2.50E-01     2.74E-01     
Xe           54           0.00000E+00  0.00000E+00  1.84E-02     8.03E-02     1.65E-01     2.62E-01     3.70E-01     4.77E-01     5.65E-01     6.04E-01     
Cs           55           0.00000E+00  0.00000E+00  2.25E-02     8.62E-02     1.80E-01     2.95E-01     4.28E-01     5.62E-01     6.74E-01     7.22E-01     
Ba           56           0.00000E+00  0.00000E+00  4.96E-02     2.21E-01     4.22E-01     6.17E-01     8.09E-01     9.85E-01     1.11E+00     1.17E+00     
