[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ga           31           0.00000E+00  0.00000E+00  1.06E-02     2.27E-02     2.68E-02     
Ge           32           0.00000E+00  0.00000E+00  1.06E-02     2.34E-02     2.79E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-02     2.37E-02     
Se           34           0.00000E+00  0.00000E+00  1.46E-02     3.22E-02     3.82E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.98E-02     2.57E-02     
Kr           36           0.00000E+00  0.00000E+00  1.89E-02     4.29E-02     5.16E-02     
Rb           37           0.00000E+00  0.00000E+00  3.53E-02     6.38E-02     7.29E-02     
Sr           38           0.00000E+00  3.67E-02     1.77E-01     3.41E-01     3.90E-01     
Y            39           0.00000E+00  4.57E-02     2.04E-01     3.70E-01     4.18E-01     
Zr           40           0.00000E+00  5.59E-02     2.36E-01     4.19E-01     4.69E-01     
Nb           41           0.00000E+00  0.00000E+00  2.06E-02     5.75E-02     9.60E-02     
Mo           42           0.00000E+00  3.28E-02     1.64E-01     3.18E-01     3.64E-01     
Tc           43           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  2.35E-02     1.32E-01     2.68E-01     3.13E-01     
Rh           45           0.00000E+00  1.08E-02     6.29E-02     1.38E-01     1.63E-01     
Pd           46           0.00000E+00  3.79E-02     1.78E-01     3.43E-01     3.91E-01     
Ag           47           0.00000E+00  1.17E-02     6.13E-02     1.34E-01     1.59E-01     
Cd           48           0.00000E+00  5.53E-02     2.33E-01     4.19E-01     4.71E-01     
In           49           0.00000E+00  3.55E-02     1.64E-01     3.13E-01     3.57E-01     
Sn           50           0.00000E+00  7.03E-02     2.87E-01     4.92E-01     5.47E-01     
Sb           51           0.00000E+00  3.36E-02     1.48E-01     2.70E-01     3.07E-01     
Te           52           0.00000E+00  2.21E-02     1.13E-01     2.28E-01     2.64E-01     
I            53           0.00000E+00  0.00000E+00  3.51E-02     7.88E-02     9.41E-02     
Xe           54           0.00000E+00  2.66E-02     1.28E-01     2.51E-01     2.88E-01     
Cs           55           0.00000E+00  5.40E-02     2.23E-01     3.54E-01     3.90E-01     
Ba           56           0.00000E+00  1.60E-01     6.05E-01     9.21E-01     9.96E-01     
La           57           0.00000E+00  1.55E-01     6.17E-01     9.39E-01     1.02E+00     
Ce           58           0.00000E+00  1.64E-01     6.96E-01     1.05E+00     1.13E+00     
Pr           59           0.00000E+00  1.14E-01     5.39E-01     8.40E-01     9.15E-01     
Nd           60           0.00000E+00  1.15E-01     6.08E-01     9.48E-01     1.03E+00     
Pm           61           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  6.81E-02     4.33E-01     7.36E-01     8.11E-01     
Eu           63           0.00000E+00  1.35E-02     1.21E-01     2.60E-01     3.04E-01     
Gd           64           0.00000E+00  3.81E-02     2.74E-01     5.10E-01     5.70E-01     
Tb           65           0.00000E+00  2.05E-02     1.76E-01     3.68E-01     4.21E-01     
Dy           66           0.00000E+00  3.58E-02     2.75E-01     5.29E-01     5.95E-01     
Ho           67           0.00000E+00  1.50E-02     1.46E-01     3.20E-01     3.70E-01     
Er           68           0.00000E+00  3.37E-02     2.87E-01     5.51E-01     6.19E-01     
Tm           69           0.00000E+00  1.70E-02     1.84E-01     4.11E-01     4.78E-01     
Yb           70           0.00000E+00  7.73E-02     5.25E-01     8.52E-01     9.30E-01     
Lu           71           0.00000E+00  4.67E-02     4.11E-01     7.25E-01     8.03E-01     
Hf           72           0.00000E+00  1.06E-01     6.21E-01     9.59E-01     1.04E+00     
Ta           73           0.00000E+00  7.92E-02     5.49E-01     8.97E-01     9.80E-01     
W            74           0.00000E+00  1.00E-01     6.39E-01     9.99E-01     1.08E+00     
Re           75           -1.15E-01    -7.83E-02    2.43E-01     4.97E-01     5.70E-01     
Os           76           0.00000E+00  2.98E-02     2.43E-01     4.66E-01     5.25E-01     
Ir           77           0.00000E+00  0.00000E+00  3.87E-02     9.95E-02     1.20E-01     
Pt           78           0.00000E+00  1.03E-02     1.26E-01     2.94E-01     3.44E-01     
Au           79           0.00000E+00  0.00000E+00  1.07E-01     2.57E-01     3.05E-01     
Hg           80           0.00000E+00  7.40E-02     6.24E-01     9.94E-01     1.08E+00     
Tl           81           0.00000E+00  9.38E-02     7.60E-01     1.16E+00     1.25E+00     
Pb           82           0.00000E+00  3.08E-02     9.44E-01     1.39E+00     1.49E+00     
Bi           83           0.00000E+00  0.00000E+00  2.09E-01     4.55E-01     5.25E-01     
