[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
In           49           0.00000E+00  0.00000E+00  0.00000E+00  2.37e-02     4.53e-02     7.85e-02     1.38e-01     2.20e-01     3.05e-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  3.23e-02     6.26e-02     1.08e-01     1.89e-01     2.99e-01     4.08e-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.82e-02     3.37e-02     6.55e-02     1.17e-01     1.76e-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48e-02     2.80e-02     5.49e-02     9.91e-02     1.50e-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12e-02     2.45e-02     4.14e-02     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.27e-02     2.45e-02     4.90e-02     9.09e-02     1.40e-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23e-02     2.40e-02     4.94e-02     9.57e-02     1.53e-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  1.76e-02     3.89e-02     7.47e-02     1.44e-01     2.56e-01     3.69e-01     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  1.12e-02     2.61e-02     5.32e-02     1.08e-01     2.02e-01     3.01e-01     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.77e-02     3.80e-02     8.22e-02     1.61e-01     2.48e-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.77e-02     4.12e-02     8.72e-02     1.44e-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.07e-02     4.76e-02     9.92e-02     1.61e-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.11e-02     4.78e-02     8.22e-02     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.24e-02     3.91e-02     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02e-02     2.01e-02     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07e-02     2.50e-02     4.34e-02     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.62e-02     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21e-02     2.74e-02     4.76e-02     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.30e-02     4.17e-02     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18e-02     2.73e-02     5.83e-02     9.82e-02     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02e-02     2.73e-02     5.08e-02     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.52e-02     3.43e-02     7.27e-02     1.22e-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02e-02     2.51e-02     5.65e-02     9.80e-02     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48e-02     3.39e-02     7.32e-02     1.24e-01     
Re           75           -6.28e-02    -6.40e-02    -6.41e-02    -6.42e-02    -6.42e-02    -6.32e-02    -5.85e-02    -4.66e-02    -2.88e-02    
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14e-02     1.94e-02     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44e-02     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05e-02     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.50e-02     3.03e-02     6.13e-02     1.03e-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55e-02     3.29e-02     7.15e-02     1.24e-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.40e-02     4.83e-02     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
