[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        
Cu           29           0.00000E+00  0.00000E+00  1.64E-02     3.55E-02     5.15E-02     6.41E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.13E-02     3.74E-02     5.16E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.16E-02     3.87E-02     5.44E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     3.30E-02     4.68E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  2.82E-02     5.03E-02     7.03E-02     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.63E-02     3.09E-02     4.51E-02     
Kr           36           0.00000E+00  0.00000E+00  1.16E-02     3.58E-02     6.54E-02     9.34E-02     
Rb           37           0.00000E+00  0.00000E+00  2.79E-02     6.01E-02     9.27E-02     1.24E-01     
Sr           38           0.00000E+00  0.00000E+00  8.61E-02     2.48E-01     4.03E-01     5.21E-01     
Y            39           0.00000E+00  0.00000E+00  1.08E-01     2.73E-01     4.27E-01     5.46E-01     
Zr           40           0.00000E+00  0.00000E+00  1.25E-01     3.07E-01     4.70E-01     5.93E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  3.21E-02     7.16E-02     1.19E-01     
Mo           42           0.00000E+00  0.00000E+00  7.28E-02     2.16E-01     3.61E-01     4.75E-01     
Tc           43           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  4.51E-02     1.60E-01     2.91E-01     4.00E-01     
Rh           45           0.00000E+00  0.00000E+00  1.97E-02     7.52E-02     1.49E-01     2.17E-01     
Pd           46           0.00000E+00  0.00000E+00  6.86E-02     2.12E-01     3.65E-01     4.87E-01     
Ag           47           0.00000E+00  0.00000E+00  2.21E-02     7.64E-02     1.47E-01     2.14E-01     
Cd           48           0.00000E+00  0.00000E+00  1.04E-01     2.80E-01     4.49E-01     5.80E-01     
In           49           0.00000E+00  0.00000E+00  6.84E-02     1.99E-01     3.38E-01     4.51E-01     
Sn           50           0.00000E+00  0.00000E+00  1.42E-01     3.48E-01     5.30E-01     6.65E-01     
Sb           51           0.00000E+00  0.00000E+00  7.02E-02     1.80E-01     2.95E-01     3.93E-01     
Te           52           0.00000E+00  0.00000E+00  4.74E-02     1.45E-01     2.53E-01     3.42E-01     
I            53           0.00000E+00  0.00000E+00  1.27E-02     4.51E-02     8.84E-02     1.30E-01     
Xe           54           0.00000E+00  0.00000E+00  5.47E-02     1.61E-01     2.76E-01     3.72E-01     
Cs           55           0.00000E+00  0.00000E+00  1.03E-01     2.33E-01     3.63E-01     4.76E-01     
Ba           56           0.00000E+00  0.00000E+00  3.60E-01     7.36E-01     9.92E-01     1.16E+00     
La           57           0.00000E+00  0.00000E+00  3.80E-01     7.62E-01     1.02E+00     1.18E+00     
Ce           58           0.00000E+00  0.00000E+00  4.68E-01     8.81E-01     1.14E+00     1.31E+00     
Pr           59           0.00000E+00  0.00000E+00  3.50E-01     6.90E-01     9.31E-01     1.09E+00     
Nd           60           0.00000E+00  0.00000E+00  3.91E-01     7.86E-01     1.04E+00     1.20E+00     
Pm           61           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  2.95E-01     6.25E-01     8.52E-01     9.98E-01     
Eu           63           0.00000E+00  0.00000E+00  7.53E-02     2.09E-01     3.36E-01     4.35E-01     
Gd           64           0.00000E+00  0.00000E+00  1.88E-01     4.13E-01     5.95E-01     7.19E-01     
Tb           65           0.00000E+00  0.00000E+00  1.16E-01     2.92E-01     4.45E-01     5.53E-01     
Dy           66           0.00000E+00  0.00000E+00  1.91E-01     4.48E-01     6.39E-01     7.65E-01     
Ho           67           0.00000E+00  0.00000E+00  9.82E-02     2.68E-01     4.16E-01     5.22E-01     
Er           68           0.00000E+00  0.00000E+00  1.93E-01     4.61E-01     6.68E-01     8.03E-01     
Tm           69           0.00000E+00  0.00000E+00  1.16E-01     3.39E-01     5.30E-01     6.57E-01     
Yb           70           0.00000E+00  0.00000E+00  3.55E-01     7.23E-01     9.69E-01     1.12E+00     
Lu           71           0.00000E+00  0.00000E+00  2.03E-01     5.11E-01     7.40E-01     8.90E-01     
Hf           72           0.00000E+00  0.00000E+00  4.60E-01     8.50E-01     1.10E+00     1.26E+00     
Ta           73           0.00000E+00  0.00000E+00  3.82E-01     7.71E-01     1.03E+00     1.18E+00     
W            74           0.00000E+00  0.00000E+00  4.71E-01     8.77E-01     1.13E+00     1.29E+00     
Re           75           -1.14E-01    -1.16E-01    1.32E-01     4.12E-01     6.31E-01     7.87E-01     
Os           76           0.00000E+00  0.00000E+00  1.63E-01     3.79E-01     5.54E-01     6.77E-01     
Ir           77           0.00000E+00  0.00000E+00  2.37E-02     7.30E-02     1.30E-01     1.79E-01     
Pt           78           0.00000E+00  0.00000E+00  8.80E-02     2.42E-01     3.83E-01     4.84E-01     
Au           79           0.00000E+00  0.00000E+00  6.82E-02     2.13E-01     3.51E-01     4.54E-01     
Hg           80           0.00000E+00  0.00000E+00  4.27E-01     8.50E-01     1.12E+00     1.28E+00     
Tl           81           0.00000E+00  0.00000E+00  5.59E-01     1.01E+00     1.28E+00     1.44E+00     
Pb           82           0.00000E+00  0.00000E+00  1.08E+00     1.61E+00     1.90E+00     2.07E+00     
Bi           83           0.00000E+00  0.00000E+00  4.20E-01     7.98E-01     1.05E+00     1.21E+00     
