[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.33E-01    1.47E-01     5.58E-01     8.31E-01     1.02E+00     1.16E+00     1.26E+00     1.35E+00     1.42E+00     1.48E+00     1.53E+00     1.56E+00     
N            7            4.05E-01     4.21E-01     4.22E-01     4.21E-01     4.21E-01     4.20E-01     4.20E-01     4.20E-01     4.20E-01     4.22E-01     4.24E-01     4.33E-01     
O            8            0.00000E+00  0.00000E+00  1.03E-02     2.63E-02     4.40E-02     6.00E-02     7.37E-02     8.51E-02     9.51E-02     1.04E-01     1.12E-01     1.17E-01     
F            9            -2.34E-02    0.00000E+00  1.19E-01     2.82E-01     4.45E-01     5.99E-01     7.39E-01     8.67E-01     9.82E-01     1.09E+00     1.18E+00     1.24E+00     
Ne           10           0.00000E+00  0.00000E+00  4.68E-02     1.30E-01     2.29E-01     3.28E-01     4.24E-01     5.13E-01     5.98E-01     6.77E-01     7.54E-01     7.95E-01     
Na           11           1.31E-01     1.44E-01     1.49E-01     1.60E-01     1.78E-01     2.02E-01     2.31E-01     2.63E-01     3.00E-01     3.39E-01     3.84E-01     4.14E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.54E-02     2.42E-02     3.54E-02     4.95E-02     6.64E-02     8.70E-02     1.00E-01     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     1.92E-02     2.36E-02     2.74E-02     3.09E-02     3.41E-02     3.73E-02     3.94E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.79E-02     2.75E-02     3.66E-02     4.47E-02     5.20E-02     5.89E-02     6.57E-02     7.26E-02     7.61E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.21E-02     1.42E-02     1.63E-02     1.86E-02     1.98E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.17E-02     1.39E-02     1.62E-02     1.87E-02     2.03E-02     
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  1.42E-02     2.36E-02     3.38E-02     4.50E-02     5.72E-02     7.02E-02     8.40E-02     9.83E-02     1.13E-01     1.22E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.44E-02     1.68E-02     1.92E-02     2.16E-02     2.28E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     1.19E-02     
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  1.08E-02     2.92E-02     4.58E-02     5.95E-02     7.21E-02     8.57E-02     1.01E-01     1.20E-01     1.40E-01     1.63E-01     1.77E-01     
