[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -1.89e-01    -1.81e-01    -1.07e-01    0.00000E+00  1.26e-01     2.32e-01     3.20e-01     3.96e-01     4.60e-01     5.18e-01     
N            7            3.60e-01     3.65e-01     3.65e-01     3.65e-01     3.64e-01     3.63e-01     3.62e-01     3.61e-01     3.60e-01     3.59e-01     
O            8            0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
F            9            0.00000E+00  0.00000E+00  0.00000E+00  4.36e-02     9.85e-02     1.63e-01     2.28e-01     2.93e-01     3.53e-01     4.10e-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  1.97e-02     4.13e-02     6.70e-02     9.45e-02     1.23e-01     1.51e-01     1.80e-01     
Na           11           8.19e-02     8.36e-02     8.64e-02     9.19e-02     9.98e-02     1.09e-01     1.19e-01     1.30e-01     1.41e-01     1.52e-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08e-02     1.36e-02     1.61e-02     1.83e-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09e-02     1.26e-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.12e-02     1.60e-02     2.10e-02     2.61e-02     3.12e-02     3.64e-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     0.00e+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.48e-02     2.01e-02     2.49e-02     2.97e-02     3.45e-02     3.95e-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  1.13e-02     1.92e-02     2.69e-02     3.42e-02     4.12e-02     4.75e-02     5.36e-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39e-02     1.95e-02     2.50e-02     2.99e-02     3.45e-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  2.30e-02     4.83e-02     7.70e-02     1.06e-01     1.32e-01     1.55e-01     1.75e-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  2.27e-02     4.76e-02     7.60e-02     1.04e-01     1.31e-01     1.54e-01     1.75e-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.54e-02     3.26e-02     5.26e-02     7.30e-02     9.26e-02     1.09e-01     1.25e-01     
Se           34           0.00000E+00  0.00000E+00  1.01e-02     3.50e-02     7.02e-02     1.09e-01     1.46e-01     1.79e-01     2.08e-01     2.32e-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  1.97e-02     4.46e-02     7.31e-02     1.02e-01     1.29e-01     1.54e-01     1.75e-01     
Kr           36           0.00000E+00  0.00000E+00  1.33e-02     4.68e-02     9.54e-02     1.48e-01     1.97e-01     2.42e-01     2.78e-01     3.10e-01     
Rb           37           0.00000E+00  0.00000E+00  3.11e-02     7.46e-02     1.22e-01     1.67e-01     2.08e-01     2.45e-01     2.76e-01     3.05e-01     
Sr           38           0.00000E+00  0.00000E+00  8.39e-02     2.96e-01     5.17e-01     6.91e-01     8.20e-01     9.17e-01     9.88e-01     1.04e+00     
Y            39           0.00000E+00  0.00000E+00  9.23e-02     2.98e-01     5.06e-01     6.71e-01     7.93e-01     8.87e-01     9.56e-01     1.01e+00     
Zr           40           0.00000E+00  0.00000E+00  8.26e-02     2.89e-01     5.03e-01     6.72e-01     7.94e-01     8.86e-01     9.53e-01     1.00e+00     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  2.29e-02     6.89e-02     1.34e-01     2.05e-01     2.75e-01     3.39e-01     3.94e-01     
Mo           42           0.00000E+00  0.00000E+00  3.49e-02     1.75e-01     3.51e-01     5.00e-01     6.14e-01     7.00e-01     7.63e-01     8.11e-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  2.13e-02     1.23e-01     2.69e-01     4.04e-01     5.10e-01     5.92e-01     6.53e-01     6.99e-01     
Rh           45           0.00000E+00  0.00000E+00  1.03e-02     6.25e-02     1.46e-01     2.31e-01     3.04e-01     3.64e-01     4.10e-01     4.46e-01     
Pd           46           0.00000E+00  0.00000E+00  3.74e-02     1.85e-01     3.70e-01     5.27e-01     6.44e-01     7.31e-01     7.95e-01     8.43e-01     
Ag           47           0.00000E+00  0.00000E+00  1.04e-02     5.87e-02     1.35e-01     2.14e-01     2.82e-01     3.38e-01     3.82e-01     4.16e-01     
Cd           48           0.00000E+00  0.00000E+00  5.16e-02     2.27e-01     4.31e-01     5.97e-01     7.19e-01     8.09e-01     8.75e-01     9.24e-01     
In           49           0.00000E+00  0.00000E+00  3.22e-02     1.54e-01     3.14e-01     4.53e-01     5.60e-01     6.41e-01     7.01e-01     7.47e-01     
Sn           50           0.00000E+00  0.00000E+00  5.19e-02     2.37e-01     4.48e-01     6.17e-01     7.39e-01     8.28e-01     8.93e-01     9.41e-01     
Sb           51           0.00000E+00  0.00000E+00  2.29e-02     1.04e-01     2.17e-01     3.24e-01     4.10e-01     4.77e-01     5.29e-01     5.68e-01     
Te           52           0.00000E+00  0.00000E+00  1.23e-02     7.98e-02     1.84e-01     2.86e-01     3.68e-01     4.32e-01     4.80e-01     5.16e-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  2.27e-02     5.86e-02     9.95e-02     1.37e-01     1.69e-01     1.94e-01     2.15e-01     
Xe           54           0.00000E+00  0.00000E+00  1.22e-02     7.82e-02     1.81e-01     2.83e-01     3.64e-01     4.28e-01     4.76e-01     5.12e-01     
Cs           55           0.00000E+00  0.00000E+00  2.60e-02     1.14e-01     2.18e-01     3.16e-01     3.98e-01     4.64e-01     5.15e-01     5.56e-01     
Ba           56           0.00000E+00  0.00000E+00  3.29e-02     2.51e-01     5.06e-01     6.99e-01     8.31e-01     9.23e-01     9.87e-01     1.03e+00     
La           57           0.00000E+00  0.00000E+00  2.11e-02     2.07e-01     4.45e-01     6.32e-01     7.61e-01     8.51e-01     9.12e-01     9.57e-01     
Ce           58           0.00000E+00  0.00000E+00  1.23e-02     1.65e-01     3.83e-01     5.63e-01     6.91e-01     7.81e-01     8.43e-01     8.87e-01     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  9.48e-02     2.35e-01     3.70e-01     4.76e-01     5.56e-01     6.13e-01     6.55e-01     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  1.02e-01     2.63e-01     4.12e-01     5.26e-01     6.08e-01     6.66e-01     7.07e-01     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  5.09e-02     1.43e-01     2.44e-01     3.29e-01     3.96e-01     4.43e-01     4.78e-01     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.62e-02     4.96e-02     7.31e-02     9.41e-02     1.11e-01     1.24e-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  2.34e-02     7.55e-02     1.36e-01     1.90e-01     2.33e-01     2.65e-01     2.89e-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  1.31e-02     4.32e-02     8.19e-02     1.19e-01     1.49e-01     1.73e-01     1.90e-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  2.61e-02     8.04e-02     1.44e-01     2.01e-01     2.47e-01     2.81e-01     3.05e-01     
