[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
C            6            -2.41E-01    -2.60E-01    -2.54E-01    -9.70E-02    1.22E-01     3.19E-01     4.79E-01     6.14E-01     7.33E-01     8.42E-01     9.25E-01     
N            7            4.38E-01     4.60E-01     4.61E-01     4.61E-01     4.60E-01     4.60E-01     4.59E-01     4.59E-01     4.58E-01     4.57E-01     4.56E-01     
O            8            -1.14E-02    -1.49E-02    -1.50E-02    -1.44E-02    -1.25E-02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06E-02     
F            9            -2.87E-02    -3.50E-02    -3.49E-02    2.96E-02     1.79E-01     3.43E-01     4.79E-01     5.82E-01     6.65E-01     7.37E-01     7.89E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.92E-02     4.62E-02     7.82E-02     1.13E-01     1.50E-01     1.91E-01     2.28E-01     
Na           11           1.47E-01     1.60E-01     1.60E-01     1.61E-01     1.64E-01     1.69E-01     1.76E-01     1.84E-01     1.93E-01     2.04E-01     2.13E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03E-02     1.72E-02     2.51E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.07E-02     2.07E-02     3.39E-02     4.91E-02     6.60E-02     8.41E-02     9.95E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.02E-02     1.50E-02     2.05E-02     2.69E-02     3.29E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.98E-02     3.01E-02     4.38E-02     5.80E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
