[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     3.88E-02     6.63E-02     9.49E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     2.17E-02     3.73E-02     6.30E-02     9.26E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.38E-02     1.84E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.94E-02     2.76E-02     3.65E-02     4.67E-02     6.12E-02     7.72E-02     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     2.35E-02     3.42E-02     4.51E-02     5.70E-02     7.27E-02     8.96E-02     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.09E-02     2.13E-02     3.15E-02     4.18E-02     5.29E-02     6.71E-02     8.21E-02     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.74E-02     3.33E-02     4.83E-02     6.34E-02     7.94E-02     9.93E-02     1.20E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.75E-02     2.61E-02     3.53E-02     4.55E-02     5.79E-02     7.08E-02     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.78E-02     5.50E-02     8.04E-02     1.05E-01     1.31E-01     1.60E-01     1.88E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.04E-02     7.09E-02     1.20E-01     1.76E-01     2.36E-01     3.03E-01     3.64E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  4.58E-02     1.75E-01     2.97E-01     3.82E-01     4.49E-01     5.08E-01     5.63E-01     6.08E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  4.59E-02     1.80E-01     3.17E-01     4.19E-01     5.01E-01     5.75E-01     6.43E-01     6.97E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  5.48E-02     2.04E-01     3.46E-01     4.49E-01     5.31E-01     6.09E-01     6.78E-01     7.32E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78E-02     3.13E-02     4.88E-02     7.03E-02     9.52E-02     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  3.80E-02     1.49E-01     2.61E-01     3.42E-01     4.07E-01     4.71E-01     5.32E-01     5.81E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  3.13E-02     1.24E-01     2.19E-01     2.89E-01     3.43E-01     3.96E-01     4.44E-01     4.84E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  1.45E-02     6.08E-02     1.13E-01     1.54E-01     1.87E-01     2.20E-01     2.51E-01     2.77E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  4.49E-02     1.69E-01     2.89E-01     3.73E-01     4.38E-01     4.99E-01     5.53E-01     5.96E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     5.90E-02     1.10E-01     1.50E-01     1.83E-01     2.16E-01     2.47E-01     2.73E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  5.58E-02     2.07E-01     3.52E-01     4.53E-01     5.29E-01     5.99E-01     6.60E-01     7.06E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  3.70E-02     1.45E-01     2.57E-01     3.39E-01     4.01E-01     4.58E-01     5.07E-01     5.45E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  6.79E-02     2.43E-01     4.02E-01     5.15E-01     6.01E-01     6.83E-01     7.52E-01     8.04E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  2.65E-02     1.09E-01     2.07E-01     2.90E-01     3.63E-01     4.37E-01     5.04E-01     5.56E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.50E-02     9.78E-02     1.73E-01     2.32E-01     2.81E-01     3.30E-01     3.74E-01     4.09E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.17E-02     6.09E-02     8.48E-02     1.05E-01     1.26E-01     1.45E-01     1.62E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  2.70E-02     1.07E-01     1.94E-01     2.63E-01     3.19E-01     3.76E-01     4.27E-01     4.66E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  2.79E-02     1.29E-01     2.58E-01     3.64E-01     4.49E-01     5.30E-01     6.00E-01     6.51E-01     
Ba           56           0.00000E+00  0.00000E+00  0.00000E+00  2.22E-01     5.76E-01     8.13E-01     9.64E-01     1.07E+00     1.16E+00     1.24E+00     1.29E+00     
La           57           0.00000E+00  0.00000E+00  0.00000E+00  2.35E-01     5.96E-01     8.35E-01     9.89E-01     1.10E+00     1.19E+00     1.27E+00     1.32E+00     
Ce           58           0.00000E+00  0.00000E+00  0.00000E+00  2.92E-01     6.87E-01     9.35E-01     1.09E+00     1.21E+00     1.30E+00     1.38E+00     1.43E+00     
Pr           59           0.00000E+00  0.00000E+00  0.00000E+00  1.78E-01     5.06E-01     7.55E-01     9.24E-01     1.05E+00     1.15E+00     1.23E+00     1.28E+00     
Nd           60           0.00000E+00  0.00000E+00  0.00000E+00  2.50E-01     6.13E-01     8.53E-01     1.01E+00     1.12E+00     1.21E+00     1.28E+00     1.33E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  0.00000E+00  1.57E-01     4.43E-01     6.51E-01     7.99E-01     9.13E-01     1.01E+00     1.09E+00     1.14E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  3.30E-02     1.25E-01     2.22E-01     3.07E-01     3.83E-01     4.51E-01     5.13E-01     5.57E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  8.73E-02     2.64E-01     4.33E-01     5.69E-01     6.81E-01     7.79E-01     8.64E-01     9.22E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  5.42E-02     1.77E-01     2.95E-01     3.97E-01     4.86E-01     5.67E-01     6.41E-01     6.92E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  9.20E-02     2.76E-01     4.27E-01     5.45E-01     6.46E-01     7.36E-01     8.17E-01     8.74E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  5.16E-02     1.72E-01     2.83E-01     3.74E-01     4.54E-01     5.29E-01     5.98E-01     6.42E-01     
Er           68           0.00000E+00  0.00000E+00  0.00000E+00  1.06E-01     3.23E-01     4.94E-01     6.20E-01     7.22E-01     8.11E-01     8.93E-01     9.49E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  6.92E-02     2.32E-01     3.61E-01     4.56E-01     5.37E-01     6.12E-01     6.83E-01     7.37E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  2.06E-01     5.38E-01     7.67E-01     9.17E-01     1.03E+00     1.12E+00     1.21E+00     1.27E+00     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  1.26E-01     3.77E-01     5.68E-01     6.96E-01     7.93E-01     8.76E-01     9.49E-01     1.00E+00     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  2.69E-01     6.46E-01     8.96E-01     1.06E+00     1.18E+00     1.27E+00     1.36E+00     1.42E+00     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  2.23E-01     5.78E-01     8.16E-01     9.69E-01     1.08E+00     1.17E+00     1.25E+00     1.31E+00     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  2.75E-01     6.68E-01     9.20E-01     1.08E+00     1.19E+00     1.28E+00     1.35E+00     1.41E+00     
Re           75           -2.75E-02    -2.89E-02    -2.89E-02    4.73E-02     2.75E-01     4.89E-01     6.34E-01     7.38E-01     8.24E-01     9.00E-01     9.57E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  7.67E-02     2.39E-01     3.97E-01     5.22E-01     6.17E-01     6.96E-01     7.68E-01     8.18E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     4.24E-02     8.20E-02     1.23E-01     1.61E-01     1.96E-01     2.31E-01     2.58E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  4.50E-02     1.51E-01     2.55E-01     3.47E-01     4.28E-01     5.00E-01     5.66E-01     6.13E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  3.75E-02     1.38E-01     2.38E-01     3.19E-01     3.88E-01     4.48E-01     5.05E-01     5.46E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  2.94E-01     6.82E-01     9.33E-01     1.09E+00     1.21E+00     1.29E+00     1.36E+00     1.41E+00     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  4.03E-01     8.28E-01     1.07E+00     1.23E+00     1.35E+00     1.43E+00     1.51E+00     1.55E+00     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  4.14E-01     9.93E-01     1.37E+00     1.61E+00     1.77E+00     1.88E+00     1.97E+00     2.03E+00     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  3.76E-02     2.51E-01     5.70E-01     8.47E-01     1.06E+00     1.22E+00     1.35E+00     1.43E+00     
