[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        
C            6            -2.06E-01    -2.16E-01    -2.16E-01    -2.06E-01    -1.83E-01    -1.49E-01    -1.07E-01    -6.15E-02    -2.23E-02    -1.09E-02    
N            7            4.44E-01     4.60E-01     4.61E-01     4.61E-01     4.61E-01     4.60E-01     4.60E-01     4.60E-01     4.60E-01     4.60E-01     
O            8            -2.49E-02    -2.82E-02    -2.83E-02    -2.83E-02    -2.84E-02    -2.83E-02    -2.83E-02    -2.82E-02    -2.81E-02    -2.82E-02    
F            9            -3.68E-02    -4.18E-02    -4.18E-02    -3.88E-02    -3.13E-02    -1.86E-02    0.00000E+00  1.92E-02     3.76E-02     4.35E-02     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22E-02     1.71E-02     1.87E-02     
Na           11           1.25E-01     1.35E-01     1.35E-01     1.35E-01     1.36E-01     1.37E-01     1.37E-01     1.38E-01     1.39E-01     1.40E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
