[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Ca           20           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.60E-02     2.09E-02     2.64E-02     3.26E-02     3.95E-02     4.54E-02     4.82E-02     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.35E-02     1.73E-02     2.14E-02     2.62E-02     3.19E-02     3.91E-02     4.49E-02     4.84E-02     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  1.23E-02     1.78E-02     2.34E-02     2.88E-02     3.44E-02     4.04E-02     4.68E-02     5.23E-02     5.50E-02     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.24E-02     1.63E-02     2.00E-02     2.37E-02     2.72E-02     3.00E-02     3.12E-02     
Ga           31           0.00000E+00  0.00000E+00  1.25E-02     2.84E-02     4.80E-02     6.81E-02     8.70E-02     1.04E-01     1.20E-01     1.35E-01     1.46E-01     1.51E-01     
Ge           32           0.00000E+00  0.00000E+00  1.26E-02     2.84E-02     4.81E-02     6.87E-02     8.87E-02     1.07E-01     1.25E-01     1.41E-01     1.54E-01     1.58E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  1.95E-02     3.32E-02     4.79E-02     6.22E-02     7.58E-02     8.87E-02     1.01E-01     1.10E-01     1.14E-01     
Se           34           0.00000E+00  0.00000E+00  2.01E-02     4.31E-02     7.05E-02     9.84E-02     1.25E-01     1.49E-01     1.71E-01     1.93E-01     2.09E-01     2.15E-01     
Br           35           0.00000E+00  0.00000E+00  1.11E-02     2.59E-02     4.41E-02     6.36E-02     8.33E-02     1.02E-01     1.21E-01     1.40E-01     1.52E-01     1.58E-01     
Kr           36           0.00000E+00  0.00000E+00  3.13E-02     6.64E-02     1.07E-01     1.48E-01     1.85E-01     2.18E-01     2.49E-01     2.78E-01     2.99E-01     3.07E-01     
Rb           37           0.00000E+00  2.23E-02     5.60E-02     9.36E-02     1.32E-01     1.70E-01     2.06E-01     2.43E-01     2.80E-01     3.19E-01     3.48E-01     3.61E-01     
Sr           38           0.00000E+00  5.04E-02     2.12E-01     4.03E-01     5.69E-01     6.98E-01     7.95E-01     8.71E-01     9.35E-01     9.90E-01     1.03E+00     1.04E+00     
Y            39           0.00000E+00  6.31E-02     2.27E-01     4.11E-01     5.70E-01     6.96E-01     7.92E-01     8.69E-01     9.34E-01     9.92E-01     1.03E+00     1.05E+00     
Zr           40           0.00000E+00  6.39E-02     2.39E-01     4.32E-01     5.96E-01     7.23E-01     8.17E-01     8.91E-01     9.54E-01     1.01E+00     1.05E+00     1.06E+00     
Nb           41           0.00000E+00  0.00000E+00  1.46E-02     4.29E-02     8.55E-02     1.38E-01     1.96E-01     2.54E-01     3.11E-01     3.69E-01     4.03E-01     4.21E-01     
Mo           42           0.00000E+00  2.74E-02     1.47E-01     3.04E-01     4.49E-01     5.66E-01     6.53E-01     7.22E-01     7.79E-01     8.29E-01     8.62E-01     8.75E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  1.39E-02     9.76E-02     2.26E-01     3.56E-01     4.65E-01     5.49E-01     6.17E-01     6.74E-01     7.25E-01     7.57E-01     7.70E-01     
Rh           45           0.00000E+00  0.00000E+00  4.84E-02     1.20E-01     2.00E-01     2.74E-01     3.36E-01     3.86E-01     4.30E-01     4.69E-01     4.95E-01     5.05E-01     
Pd           46           0.00000E+00  2.44E-02     1.49E-01     3.19E-01     4.75E-01     5.98E-01     6.90E-01     7.62E-01     8.22E-01     8.74E-01     9.08E-01     9.21E-01     
Ag           47           0.00000E+00  0.00000E+00  4.57E-02     1.11E-01     1.84E-01     2.53E-01     3.10E-01     3.57E-01     3.99E-01     4.37E-01     4.62E-01     4.72E-01     
Cd           48           0.00000E+00  3.86E-02     1.92E-01     3.83E-01     5.51E-01     6.82E-01     7.79E-01     8.55E-01     9.18E-01     9.73E-01     1.01E+00     1.02E+00     
In           49           0.00000E+00  2.41E-02     1.30E-01     2.76E-01     4.16E-01     5.30E-01     6.18E-01     6.89E-01     7.48E-01     8.00E-01     8.35E-01     8.48E-01     
Sn           50           0.00000E+00  4.62E-02     2.19E-01     4.23E-01     5.96E-01     7.28E-01     8.25E-01     9.00E-01     9.62E-01     1.02E+00     1.05E+00     1.07E+00     
Sb           51           0.00000E+00  2.29E-02     9.98E-02     2.09E-01     3.20E-01     4.18E-01     4.97E-01     5.62E-01     6.19E-01     6.71E-01     7.05E-01     7.19E-01     
Te           52           0.00000E+00  1.15E-02     7.72E-02     1.79E-01     2.84E-01     3.74E-01     4.43E-01     4.98E-01     5.44E-01     5.85E-01     6.12E-01     6.22E-01     
I            53           0.00000E+00  0.00000E+00  2.22E-02     5.77E-02     1.01E-01     1.44E-01     1.81E-01     2.12E-01     2.41E-01     2.67E-01     2.85E-01     2.91E-01     
Xe           54           0.00000E+00  1.20E-02     7.87E-02     1.83E-01     2.91E-01     3.84E-01     4.56E-01     5.14E-01     5.63E-01     6.07E-01     6.36E-01     6.47E-01     
Cs           55           0.00000E+00  2.54E-02     1.03E-01     2.11E-01     3.29E-01     4.37E-01     5.28E-01     6.03E-01     6.68E-01     7.26E-01     7.65E-01     7.79E-01     
Ba           56           0.00000E+00  3.73E-02     2.99E-01     5.83E-01     7.99E-01     9.51E-01     1.06E+00     1.13E+00     1.19E+00     1.24E+00     1.28E+00     1.29E+00     
La           57           0.00000E+00  2.70E-02     2.73E-01     5.53E-01     7.69E-01     9.19E-01     1.02E+00     1.10E+00     1.15E+00     1.20E+00     1.23E+00     1.24E+00     
Ce           58           0.00000E+00  1.74E-02     2.44E-01     5.19E-01     7.35E-01     8.85E-01     9.87E-01     1.06E+00     1.11E+00     1.16E+00     1.19E+00     1.20E+00     
Pr           59           0.00000E+00  1.27E-02     1.44E-01     3.40E-01     5.21E-01     6.60E-01     7.60E-01     8.34E-01     8.93E-01     9.42E-01     9.74E-01     9.86E-01     
Nd           60           0.00000E+00  0.00000E+00  1.67E-01     3.91E-01     5.83E-01     7.23E-01     8.19E-01     8.87E-01     9.41E-01     9.84E-01     1.01E+00     1.02E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  9.18E-02     2.38E-01     3.85E-01     5.01E-01     5.83E-01     6.42E-01     6.89E-01     7.27E-01     7.51E-01     7.60E-01     
Eu           63           0.00000E+00  0.00000E+00  1.68E-02     5.04E-02     9.46E-02     1.38E-01     1.75E-01     2.03E-01     2.27E-01     2.47E-01     2.61E-01     2.66E-01     
Gd           64           0.00000E+00  0.00000E+00  4.58E-02     1.32E-01     2.25E-01     3.04E-01     3.65E-01     4.11E-01     4.49E-01     4.82E-01     5.03E-01     5.11E-01     
Tb           65           0.00000E+00  0.00000E+00  2.75E-02     8.20E-02     1.48E-01     2.06E-01     2.51E-01     2.85E-01     3.12E-01     3.35E-01     3.50E-01     3.56E-01     
Dy           66           0.00000E+00  0.00000E+00  5.00E-02     1.41E-01     2.39E-01     3.21E-01     3.82E-01     4.27E-01     4.62E-01     4.91E-01     5.09E-01     5.16E-01     
Ho           67           0.00000E+00  0.00000E+00  2.32E-02     7.13E-02     1.30E-01     1.84E-01     2.25E-01     2.57E-01     2.83E-01     3.05E-01     3.19E-01     3.24E-01     
Er           68           0.00000E+00  0.00000E+00  4.97E-02     1.46E-01     2.53E-01     3.43E-01     4.09E-01     4.58E-01     4.98E-01     5.30E-01     5.51E-01     5.59E-01     
Tm           69           0.00000E+00  0.00000E+00  4.19E-02     1.27E-01     2.28E-01     3.16E-01     3.79E-01     4.25E-01     4.60E-01     4.89E-01     5.06E-01     5.13E-01     
Yb           70           0.00000E+00  0.00000E+00  1.01E-01     2.67E-01     4.27E-01     5.52E-01     6.40E-01     7.03E-01     7.51E-01     7.90E-01     8.15E-01     8.24E-01     
Lu           71           0.00000E+00  0.00000E+00  5.62E-02     1.65E-01     2.84E-01     3.85E-01     4.59E-01     5.13E-01     5.54E-01     5.88E-01     6.08E-01     6.16E-01     
Hf           72           0.00000E+00  0.00000E+00  1.28E-01     3.25E-01     5.06E-01     6.41E-01     7.34E-01     8.01E-01     8.52E-01     8.93E-01     9.18E-01     9.28E-01     
Ta           73           0.00000E+00  0.00000E+00  1.01E-01     2.71E-01     4.40E-01     5.71E-01     6.64E-01     7.30E-01     7.80E-01     8.20E-01     8.45E-01     8.54E-01     
W            74           0.00000E+00  0.00000E+00  1.30E-01     3.32E-01     5.17E-01     6.56E-01     7.53E-01     8.22E-01     8.75E-01     9.17E-01     9.43E-01     9.53E-01     
Re           75           -3.37E-02    -3.13E-02    0.00000E+00  7.68E-02     1.72E-01     2.64E-01     3.38E-01     3.96E-01     4.42E-01     4.79E-01     5.03E-01     5.12E-01     
Os           76           0.00000E+00  0.00000E+00  2.47E-02     7.29E-02     1.33E-01     1.87E-01     2.31E-01     2.64E-01     2.91E-01     3.13E-01     3.27E-01     3.32E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     2.31E-02     3.52E-02     4.57E-02     5.44E-02     6.16E-02     6.76E-02     7.13E-02     7.26E-02     
Pt           78           0.00000E+00  0.00000E+00  1.55E-02     4.99E-02     9.41E-02     1.36E-01     1.70E-01     1.96E-01     2.17E-01     2.35E-01     2.46E-01     2.50E-01     
Au           79           0.00000E+00  0.00000E+00  1.19E-02     4.04E-02     7.94E-02     1.19E-01     1.52E-01     1.78E-01     1.99E-01     2.16E-01     2.28E-01     2.32E-01     
Hg           80           0.00000E+00  0.00000E+00  9.64E-02     2.66E-01     4.33E-01     5.62E-01     6.52E-01     7.17E-01     7.67E-01     8.06E-01     8.30E-01     8.39E-01     
Tl           81           0.00000E+00  0.00000E+00  1.25E-01     3.36E-01     5.31E-01     6.74E-01     7.72E-01     8.40E-01     8.90E-01     9.29E-01     9.53E-01     9.61E-01     
Pb           82           0.00000E+00  0.00000E+00  5.04E-02     1.87E-01     3.53E-01     4.95E-01     5.97E-01     6.69E-01     7.23E-01     7.64E-01     7.88E-01     7.96E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  1.29E-02     3.47E-02     6.32E-02     9.15E-02     1.17E-01     1.39E-01     1.57E-01     1.69E-01     1.74E-01     
