[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.20E-01    -1.71E-01    -6.84E-02    4.95E-02     1.63E-01     2.64E-01     3.48E-01     4.24E-01     4.94E-01     5.59E-01     6.06E-01     6.28E-01     
N            7            4.57E-01     4.58E-01     4.58E-01     4.58E-01     4.57E-01     4.56E-01     4.55E-01     4.53E-01     4.52E-01     4.51E-01     4.49E-01     4.49E-01     
O            8            -2.58E-02    -2.48E-02    -2.43E-02    -2.35E-02    -2.26E-02    -2.18E-02    -2.12E-02    -2.09E-02    -2.07E-02    -2.08E-02    -2.09E-02    -2.10E-02    
F            9            -3.59E-02    -2.82E-02    0.00000E+00  4.90E-02     1.11E-01     1.76E-01     2.37E-01     2.96E-01     3.56E-01     4.16E-01     4.61E-01     4.83E-01     
Ne           10           0.00000E+00  0.00000E+00  0.00000E+00  2.18E-02     4.12E-02     6.35E-02     8.70E-02     1.12E-01     1.39E-01     1.69E-01     1.94E-01     2.05E-01     
Na           11           1.33E-01     1.36E-01     1.38E-01     1.41E-01     1.46E-01     1.51E-01     1.56E-01     1.61E-01     1.67E-01     1.73E-01     1.78E-01     1.81E-01     
Mg           12           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.18E-02     1.46E-02     1.62E-02     
Al           13           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.30E-02     1.38E-02     
Si           14           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
P            15           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.14E-02     1.38E-02     1.61E-02     1.85E-02     2.03E-02     2.11E-02     
S            16           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.08E-02     1.14E-02     
Ar           18           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
