[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
Mn           25           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Fe           26           0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     
Co           27           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.54E-02     5.10E-02     8.57E-02     1.27E-01     1.74E-01     2.24E-01     2.72E-01     3.02E-01     
Ni           28           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.51E-02     2.08E-02     2.48E-02     
Cu           29           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.11E-02     2.58E-02     5.24E-02     9.38E-02     1.49E-01     2.15E-01     2.90E-01     3.64E-01     4.11E-01     
Zn           30           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01E-02     1.57E-02     2.44E-02     3.74E-02     5.61E-02     7.87E-02     9.61E-02     
Ga           31           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.66E-02     2.92E-02     4.46E-02     6.43E-02     9.32E-02     1.34E-01     1.89E-01     2.51E-01     2.94E-01     
Ge           32           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.02E-02     3.52E-02     5.20E-02     7.13E-02     9.78E-02     1.35E-01     1.86E-01     2.45E-01     2.87E-01     
As           33           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.83E-02     3.26E-02     4.79E-02     6.44E-02     8.56E-02     1.14E-01     1.55E-01     2.04E-01     2.40E-01     
Se           34           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.82E-02     4.97E-02     7.21E-02     9.55E-02     1.23E-01     1.58E-01     2.04E-01     2.59E-01     2.97E-01     
Br           35           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.37E-02     2.55E-02     3.88E-02     5.35E-02     7.03E-02     9.15E-02     1.19E-01     1.52E-01     1.78E-01     
Kr           36           0.00000E+00  0.00000E+00  0.00000E+00  1.30E-02     4.03E-02     7.19E-02     1.05E-01     1.40E-01     1.75E-01     2.16E-01     2.62E-01     3.13E-01     3.47E-01     
Rb           37           0.00000E+00  0.00000E+00  0.00000E+00  1.81E-02     6.86E-02     1.40E-01     2.18E-01     2.98E-01     3.72E-01     4.50E-01     5.27E-01     6.07E-01     6.57E-01     
Sr           38           0.00000E+00  0.00000E+00  0.00000E+00  7.03E-02     1.98E-01     3.01E-01     3.78E-01     4.43E-01     4.94E-01     5.45E-01     5.90E-01     6.34E-01     6.56E-01     
Y            39           0.00000E+00  0.00000E+00  0.00000E+00  7.10E-02     2.18E-01     3.44E-01     4.40E-01     5.21E-01     5.84E-01     6.46E-01     6.99E-01     7.48E-01     7.71E-01     
Zr           40           0.00000E+00  0.00000E+00  0.00000E+00  7.18E-02     2.19E-01     3.43E-01     4.43E-01     5.28E-01     5.94E-01     6.59E-01     7.16E-01     7.67E-01     7.90E-01     
Nb           41           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.99E-02     3.62E-02     5.68E-02     8.03E-02     1.06E-01     1.34E-01     1.60E-01     
Mo           42           0.00000E+00  0.00000E+00  0.00000E+00  4.68E-02     1.46E-01     2.33E-01     3.12E-01     3.84E-01     4.47E-01     5.10E-01     5.70E-01     6.22E-01     6.45E-01     
Tc           43           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Ru           44           0.00000E+00  0.00000E+00  0.00000E+00  3.66E-02     1.14E-01     1.79E-01     2.37E-01     2.93E-01     3.45E-01     4.01E-01     4.59E-01     5.10E-01     5.34E-01     
Rh           45           0.00000E+00  0.00000E+00  0.00000E+00  1.69E-02     5.55E-02     8.93E-02     1.21E-01     1.51E-01     1.82E-01     2.15E-01     2.53E-01     2.87E-01     3.04E-01     
Pd           46           0.00000E+00  0.00000E+00  0.00000E+00  5.23E-02     1.59E-01     2.42E-01     3.12E-01     3.73E-01     4.27E-01     4.82E-01     5.41E-01     5.92E-01     6.16E-01     
Ag           47           0.00000E+00  0.00000E+00  0.00000E+00  1.62E-02     5.32E-02     8.61E-02     1.17E-01     1.45E-01     1.71E-01     2.00E-01     2.31E-01     2.61E-01     2.75E-01     
Cd           48           0.00000E+00  0.00000E+00  0.00000E+00  6.87E-02     2.06E-01     3.10E-01     3.94E-01     4.63E-01     5.22E-01     5.77E-01     6.35E-01     6.85E-01     7.09E-01     
In           49           0.00000E+00  0.00000E+00  0.00000E+00  4.50E-02     1.42E-01     2.19E-01     2.82E-01     3.35E-01     3.80E-01     4.23E-01     4.70E-01     5.11E-01     5.33E-01     
Sn           50           0.00000E+00  0.00000E+00  0.00000E+00  8.19E-02     2.40E-01     3.62E-01     4.63E-01     5.43E-01     6.08E-01     6.67E-01     7.31E-01     7.82E-01     8.08E-01     
Sb           51           0.00000E+00  0.00000E+00  0.00000E+00  3.49E-02     1.18E-01     1.98E-01     2.76E-01     3.43E-01     3.99E-01     4.51E-01     5.09E-01     5.56E-01     5.81E-01     
Te           52           0.00000E+00  0.00000E+00  0.00000E+00  2.77E-02     8.59E-02     1.38E-01     1.89E-01     2.33E-01     2.72E-01     3.09E-01     3.51E-01     3.86E-01     4.03E-01     
I            53           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.73E-02     4.45E-02     6.23E-02     7.86E-02     9.39E-02     1.09E-01     1.29E-01     1.46E-01     1.55E-01     
Xe           54           0.00000E+00  0.00000E+00  0.00000E+00  3.25E-02     1.02E-01     1.61E-01     2.19E-01     2.69E-01     3.14E-01     3.55E-01     4.05E-01     4.47E-01     4.66E-01     
Cs           55           0.00000E+00  0.00000E+00  0.00000E+00  4.96E-02     1.61E-01     2.53E-01     3.38E-01     4.05E-01     4.60E-01     5.07E-01     5.61E-01     6.05E-01     6.27E-01     
Ba           56           0.00000E+00  0.00000E+00  2.95E-02     2.54E-01     5.63E-01     7.40E-01     8.69E-01     9.60E-01     1.03E+00     1.08E+00     1.14E+00     1.19E+00     1.21E+00     
La           57           0.00000E+00  0.00000E+00  3.20E-02     2.69E-01     5.86E-01     7.67E-01     8.98E-01     9.91E-01     1.06E+00     1.12E+00     1.17E+00     1.22E+00     1.24E+00     
Ce           58           0.00000E+00  0.00000E+00  4.06E-02     3.25E-01     6.72E-01     8.61E-01     9.93E-01     1.08E+00     1.16E+00     1.21E+00     1.26E+00     1.31E+00     1.32E+00     
Pr           59           0.00000E+00  0.00000E+00  2.62E-02     2.31E-01     5.41E-01     7.24E-01     8.53E-01     9.42E-01     1.01E+00     1.06E+00     1.11E+00     1.15E+00     1.17E+00     
Nd           60           0.00000E+00  0.00000E+00  3.19E-02     2.78E-01     6.02E-01     7.82E-01     9.06E-01     9.94E-01     1.07E+00     1.12E+00     1.18E+00     1.23E+00     1.24E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.81E-02     1.79E-01     4.36E-01     6.06E-01     7.31E-01     8.22E-01     8.98E-01     9.55E-01     1.02E+00     1.07E+00     1.09E+00     
Eu           63           0.00000E+00  0.00000E+00  0.00000E+00  4.05E-02     1.26E-01     2.05E-01     2.73E-01     3.29E-01     3.78E-01     4.18E-01     4.65E-01     5.03E-01     5.19E-01     
Gd           64           0.00000E+00  0.00000E+00  0.00000E+00  9.68E-02     2.80E-01     4.24E-01     5.40E-01     6.28E-01     7.01E-01     7.56E-01     8.20E-01     8.69E-01     8.89E-01     
Tb           65           0.00000E+00  0.00000E+00  0.00000E+00  5.54E-02     1.72E-01     2.76E-01     3.65E-01     4.35E-01     4.96E-01     5.42E-01     5.97E-01     6.40E-01     6.58E-01     
Dy           66           0.00000E+00  0.00000E+00  0.00000E+00  9.39E-02     2.58E-01     3.91E-01     5.02E-01     5.88E-01     6.60E-01     7.15E-01     7.76E-01     8.24E-01     8.45E-01     
Ho           67           0.00000E+00  0.00000E+00  0.00000E+00  5.31E-02     1.56E-01     2.49E-01     3.33E-01     4.02E-01     4.61E-01     5.06E-01     5.59E-01     5.96E-01     6.07E-01     
Er           68           0.00000E+00  0.00000E+00  1.05E-02     1.17E-01     3.03E-01     4.45E-01     5.61E-01     6.53E-01     7.31E-01     7.89E-01     8.54E-01     9.03E-01     9.24E-01     
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  7.33E-02     1.98E-01     3.03E-01     3.95E-01     4.72E-01     5.40E-01     5.92E-01     6.51E-01     6.98E-01     7.21E-01     
Yb           70           0.00000E+00  0.00000E+00  2.56E-02     2.33E-01     5.22E-01     6.99E-01     8.31E-01     9.32E-01     1.02E+00     1.09E+00     1.16E+00     1.21E+00     1.23E+00     
Lu           71           0.00000E+00  0.00000E+00  1.58E-02     1.76E-01     4.19E-01     5.71E-01     6.87E-01     7.77E-01     8.57E-01     9.19E-01     9.87E-01     1.04E+00     1.06E+00     
Hf           72           0.00000E+00  0.00000E+00  3.28E-02     2.85E-01     6.20E-01     8.10E-01     9.46E-01     1.05E+00     1.13E+00     1.20E+00     1.28E+00     1.33E+00     1.36E+00     
Ta           73           0.00000E+00  0.00000E+00  2.50E-02     2.51E-01     5.64E-01     7.46E-01     8.78E-01     9.77E-01     1.06E+00     1.13E+00     1.20E+00     1.26E+00     1.28E+00     
W            74           0.00000E+00  0.00000E+00  3.46E-02     3.14E-01     6.51E-01     8.36E-01     9.67E-01     1.06E+00     1.15E+00     1.21E+00     1.28E+00     1.34E+00     1.36E+00     
Re           75           -3.48E-02    -3.79E-02    -2.71E-02    9.33E-02     3.06E-01     4.47E-01     5.55E-01     6.39E-01     7.12E-01     7.72E-01     8.39E-01     8.93E-01     9.21E-01     
Os           76           0.00000E+00  0.00000E+00  1.04E-02     8.76E-02     2.48E-01     3.67E-01     4.59E-01     5.33E-01     5.99E-01     6.53E-01     7.13E-01     7.61E-01     7.83E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  1.20E-02     4.34E-02     7.42E-02     1.03E-01     1.29E-01     1.55E-01     1.78E-01     2.06E-01     2.29E-01     2.41E-01     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  4.56E-02     1.43E-01     2.33E-01     3.09E-01     3.73E-01     4.32E-01     4.82E-01     5.37E-01     5.82E-01     6.02E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  4.24E-02     1.26E-01     2.03E-01     2.68E-01     3.22E-01     3.74E-01     4.18E-01     4.67E-01     5.07E-01     5.25E-01     
Hg           80           0.00000E+00  0.00000E+00  3.42E-02     3.16E-01     6.63E-01     8.54E-01     9.79E-01     1.07E+00     1.14E+00     1.20E+00     1.26E+00     1.31E+00     1.33E+00     
Tl           81           0.00000E+00  0.00000E+00  4.63E-02     3.96E-01     7.67E-01     9.64E-01     1.09E+00     1.18E+00     1.24E+00     1.30E+00     1.35E+00     1.39E+00     1.41E+00     
Pb           82           0.00000E+00  0.00000E+00  2.43E-01     1.36E+00     1.87E+00     2.13E+00     2.29E+00     2.40E+00     2.47E+00     2.54E+00     2.60E+00     2.64E+00     2.66E+00     
Bi           83           0.00000E+00  0.00000E+00  4.32E-02     6.80E-01     1.22E+00     1.55E+00     1.76E+00     1.91E+00     2.03E+00     2.12E+00     2.21E+00     2.27E+00     2.30E+00     
