[El/Fe]      Z            FDU          SDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       
C            6            -2.44E-01    -2.79E-01    4.01E-01     9.47E-01     1.29E+00     1.51E+00     1.67E+00     1.80E+00     1.91E+00     2.00E+00     2.09E+00     2.16E+00     2.20E+00     
N            7            4.11E-01     4.95E-01     4.96E-01     4.97E-01     4.97E-01     4.98E-01     4.99E-01     5.01E-01     5.03E-01     5.06E-01     5.10E-01     5.18E-01     5.44E-01     
O            8            4.99E-01     4.92E-01     4.93E-01     5.00E-01     5.15E-01     5.34E-01     5.53E-01     5.71E-01     5.88E-01     6.05E-01     6.22E-01     6.39E-01     6.49E-01     
F            9            -1.05E-02    -2.23E-02    -1.01E-02    7.31E-01     1.17E+00     1.42E+00     1.59E+00     1.70E+00     1.79E+00     1.86E+00     1.92E+00     1.98E+00     2.01E+00     
Ne           10           4.76E-01     4.76E-01     4.78E-01     5.19E-01     5.99E-01     6.93E-01     7.85E-01     8.72E-01     9.55E-01     1.04E+00     1.12E+00     1.20E+00     1.25E+00     
Na           11           1.25E-01     1.56E-01     1.57E-01     1.63E-01     1.97E-01     2.58E-01     3.31E-01     4.08E-01     4.86E-01     5.66E-01     6.51E-01     7.31E-01     7.82E-01     
Mg           12           4.33E-01     4.33E-01     4.33E-01     4.33E-01     4.36E-01     4.43E-01     4.54E-01     4.70E-01     4.92E-01     5.21E-01     5.60E-01     6.04E-01     6.36E-01     
Al           13           0.00000E+00  0.00000E+00  1.37E-02     3.79E-02     7.89E-02     1.34E-01     1.95E-01     2.54E-01     3.07E-01     3.55E-01     3.99E-01     4.38E-01     4.63E-01     
Si           14           4.76E-01     4.76E-01     4.77E-01     4.77E-01     4.78E-01     4.80E-01     4.82E-01     4.83E-01     4.86E-01     4.88E-01     4.91E-01     4.94E-01     4.96E-01     
P            15           0.00000E+00  0.00000E+00  0.00000E+00  1.15E-02     4.04E-02     7.69E-02     1.15E-01     1.52E-01     1.89E-01     2.28E-01     2.70E-01     3.08E-01     3.31E-01     
S            16           4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.85E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.86E-01     4.87E-01     
Cl           17           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.16E-02     1.53E-02     1.94E-02     2.40E-02     2.94E-02     3.49E-02     3.88E-02     
Ar           18           4.52E-01     4.52E-01     4.52E-01     4.52E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.51E-01     4.50E-01     4.50E-01     4.50E-01     4.50E-01     
K            19           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.39E-02     2.01E-02     2.77E-02     3.69E-02     4.69E-02     5.39E-02     
Ca           20           4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.91E-01     4.90E-01     4.90E-01     4.90E-01     4.90E-01     4.89E-01     4.89E-01     4.88E-01     4.88E-01     
Sc           21           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.33E-02     2.73E-02     4.73E-02     7.47E-02     1.10E-01     1.53E-01     2.05E-01     2.58E-01     2.92E-01     
Ti           22           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.05E-02     1.30E-02     1.56E-02     1.88E-02     2.21E-02     2.42E-02     
V            23           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
Cr           24           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  
