name		err_Na	err_Mg    err_Al     err_Si    err_Ca    err_Ti     err_Cr    err_Ni    err_Y     err_Zr      xLa      err_Ce     err_Nd
HD110483    ---  0.16   0.08    0.13   0.19   0.18   0.11   0.15  0.08   0.13    0.08     0.13    0.19
HD110591   	0.17 0.19   0.07    0.14   0.14  0.06   0.02   0.10  0.21   0.15     0.10     0.13    0.16
HD111315    ---  0.18   0.12    0.11   0.18   0.11   0.03   0.10  0.06   0.16    0.10     0.15    0.46
HD113291    ---  0.18   0.10    0.14   0.08   0.12   0.13   0.15  0.14   0.13    0.17     0.11    0.14
HD116869   	0.14 0.19  0.19    0.12   0.13  0.12   0.08   0.10  0.22   0.15    0.15     0.10    0.11
HD119185   	0.14 0.15   0.09    0.04   0.09   0.12   0.09   0.10	0.07   0.12     0.06     0.16    0.11
HD120571    ---  0.16   0.11    0.11   0.18   0.11   0.09   0.10  0.29   0.14    0.15     0.09    0.15
HD120620    ---  0.24   0.09    0.08   0.15   0.17   0.10   0.10  0.17   0.16    0.29     0.23    0.14
HD122687   	0.13 0.23   0.16    0.10   0.14  0.09   0.07   0.10  0.08   0.15    0.17     0.18    0.20
HD123396   	0.11 0.28   0.07    0.14   0.15  0.11   0.16   0.09  0.17   0.15     0.11     0.14    0.08
HD123701   	0.11 0.13   0.06    0.11   0.16  0.10   0.07   0.04   0.14   0.14    0.19     0.12    0.16
HD123949   	0.15 0.31   0.07    0.12   0.05   0.14   0.06   0.18  0.31   0.12    0.21     0.18    0.13
HD126313    ---  0.28   0.13    0.18   0.19   0.14   0.14   0.09  0.11   0.18    0.18     0.15    0.11
HD130255   	0.12 0.11   ---     0.05   0.12  0.06   0.13   0.10  0.18   0.12     0.06     0.16    0.10
HD131670    ---  0.07   0.09    0.16   0.10   0.15   0.12   0.12  0.08   0.12    0.15     0.16    0.10
HD136636    ---  0.17   0.17    0.12   0.16   0.08   0.20   0.14	0.05   0.15    0.13     0.10    0.17
HD142571    ---  0.08   0.10    0.12   0.07   0.13   0.04   0.12  0.12   0.14    0.22     0.11    0.19
HD143899    0.15 0.14   0.36    0.09   0.12  0.09   0.13   0.09  0.17   0.11    0.15     0.16    0.12
HD147884    ---  0.11   0.29    0.11   0.10  0.09   0.07   0.09  0.15   0.08     0.07     0.12    0.12
HD148177    ---  0.18   0.08    0.21   0.05   0.16   0.07   0.13  0.38   0.13    0.17     0.12    0.15
HD154430    ---  0.19   0.12    0.20   0.11   0.19    ---       0.10  0.21   0.12    0.25     0.16    0.11
HD162806    ---  0.23   0.13    0.18   0.13   0.16   0.12   0.12  0.05   0.16    0.16     0.17    0.08
HD168214    0.13 0.17   0.17    0.08   0.11  0.10   0.14   0.12  0.17   0.13    0.05     0.09    0.10
HD168560    ---  0.22   0.19    0.13   0.18   0.09   0.07   0.15  0.15   0.14    0.16     0.13    0.15
HD168791    ---     0.23   0.07    0.16   0.20   0.16   0.15   0.15  0.03   0.18    0.16     0.20    0.22
HD176105    ---  0.19   0.14    0.16   0.04   0.14   ---    0.18	0.09   0.15    0.08     0.15    0.15
HD177192    ---  0.16   0.10    0.09   0.18   0.17   0.14   0.14  0.15   0.14    0.11     0.06    0.15
HD180996    ---  0.18   0.08    0.13   0.15   0.13   0.06   0.12  0.16   0.14    0.16     0.13    0.17
HD182300    ---  0.14   0.12    0.18   0.13   0.16   0.13   0.15  0.12   0.17    0.14     0.12    0.15
HD183915    0.18 0.29   ---        0.16   0.20   0.16   0.16   0.13  0.13   0.17    0.25     0.18    0.13
HD187308    0.19 0.17   0.19    0.10   0.12  0.07   0.18   0.10  0.17   0.13    0.09     0.16    0.15
HD193530    ---  0.16   0.12    0.14   0.07   0.17   0.01   0.15  0.36   0.16    0.11     0.18    0.15
HD196445    ---  0.15   0.05    0.16   0.27   0.21   ---       0.09  0.20   0.14    ---      0.21    0.14
HD199435    0.09 0.24   0.08    0.16   0.09   0.08   0.12   0.12  0.07   0.06    0.14     0.18    0.15
HD200995    0.10 0.13   0.21    0.18   0.14   0.08   0.19   0.20  0.07   0.19    0.28     0.22    0.11
HD201657   	0.15 0.18   0.11    0.17   0.18   0.12   0.24   0.11	0.24   0.14    0.38     0.19    0.13
HD201824   	0.24 0.16   0.13    0.11   0.12  0.13   0.13   0.08	0.19   0.12    0.02     0.24    0.10
HD204075   	---  0.14   0.09    0.19   0.13   0.15   0.17   0.16	---    0.18    0.21     0.09    0.14
HD207277   	---  0.24   0.09    0.15   0.20   0.04   0.04   0.15	0.15   0.16    0.23     0.17    0.12
HD210709   	---  0.17   0.11    0.09   0.13   0.14   0.06   0.10	0.16   0.16    0.12     0.26    0.08
HD210946   	---  0.19   0.12    0.11   0.15  0.11   0.09   0.15	0.11   0.12    0.14     0.13    0.16
HD211173   	0.14 0.15   0.09    0.09   0.13  0.12   0.05   0.10	0.06   0.09    0.11     0.08    0.09
HD211594   	0.17 0.15   0.01    0.15   0.21  0.13   0.25   0.08	0.09   0.12     0.16     0.19    0.17
HD211954   	0.07 0.18   0.11    0.14   0.08   0.19   ---    0.16	0.17   0.03     0.14     0.20    0.13
HD214579   	0.19 0.20  0.12    0.12   0.12   0.17   0.05   0.15	0.20   0.09     0.23     0.18    0.16
HD217143   	---  0.10   0.09    0.14   0.15  0.16   0.11   0.12	0.12   0.16    0.37     0.12    0.13
HD217447   	0.13 0.18   0.17    0.12   0.11  0.05   0.07   0.12  0.07   0.12    0.14     0.17    0.15
